SEVERITYCODE,ROADCOND,SPEEDING
1,Dry,0
1,Dry,0
1,Dry,0
2,Dry,0
1,Dry,0
2,Dry,0
1,Dry,0
1,Dry,0
2,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
2,Dry,0
2,Dry,0
1,Dry,0
2,Dry,0
1,Dry,0
2,Dry,0
2,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
1,Dry,0
2,Dry,0
1,Ice,0
1,Ice,0
1,Ice,0
1,Ice,0
1,Ice,0
1,Ice,0
1,Ice,0
2,Other,0
1,Snow/Slush,1
1,Snow/Slush,1
2,Snow/Slush,1
1,Snow/Slush,0
1,Snow/Slush,0
1,Unknown,0
1,Unknown,0
1,Wet,0
2,Wet,0
1,Wet,0
1,Wet,0
2,Wet,0
2,Wet,0
1,Wet,0
2,Wet,0
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
2,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
2,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
1,Dry,1
